Cell_name	Zvalue	Color	Cluster	ATM	TERF1
MGH36_P6_F12	0.286462289347	red	1	0.051024	1.3929
MGH36_P6_G01	-0.93056298917	red	1	0.077243	3.6818
MGH36_P6_G02	NA	black	0	0.13619	0
MGH36_P6_G03	0.232216848633	red	1	0.1003	1.4688
MGH36_P6_G04	0.824725789454	red	1	0.10702	0.27977
MGH36_P6_G05	0.664553924632	green3	2	0.07861	0.64616
MGH36_P6_G06	-0.568680237906	red	1	1.7364	0.78743
MGH36_P6_G07	-1.38925525949	red	1	0.12035	4.6702
MGH36_P6_G08	0.645124090652	green3	2	0.1137	0.63041
MGH36_P6_G09	NA	black	0	0	0.31846
MGH36_P6_G10	0.880237116097	red	1	0.062122	0.25942
MGH36_P6_G11	-1.13587821965	red	1	0.12829	4.1974
MGH36_P6_G12	NA	black	0	0	1.6309
MGH36_P6_H06	0.887484243975	red	1	0.031395	0.30334
MGH36_P6_H07	0.863347285081	red	1	0.049631	0.31499
MGH36_P6_H10	-2.06313592452	red	1	2.9551	0.28806
MGH36_P6_H12	0.551455392162	red	1	0.42868	0.11636
MGH36_P7_A01	0.832818655645	red	1	0.03984	0.38957
MGH36_P7_A02	0.796165843185	red	1	0.1137	0.32423
MGH36_P7_A03	-0.315958189084	red	1	1.251	0.33571
MGH36_P7_A04	NA	black	0	0	0
MGH36_P7_A06	-0.142415299865	red	1	1.0731	0.32884
MGH36_P7_A07	0.207756544851	red	1	0.57628	0.97159
MGH36_P7_A08	NA	black	0	0	0.35614
MGH36_P7_A09	NA	black	0	0.13619	0
MGH36_P7_A10	0.699272221979	green3	2	0.17505	0.40599
MGH36_P7_A11	-0.0490578001229	red	1	0.86948	3.051
MGH36_P7_A12	NA	black	0	0	0.90227
MGH36_P7_B01	NA	black	0	0	0.44467
MGH36_P7_B02	0.432734304096	red	1	1.4621	3.3029
MGH36_P7_B03	-1.1371566566	red	1	0.17505	4.3362
MGH36_P7_B04	NA	black	0	0	0.29514
MGH36_P7_B06	NA	black	0	0	4.7578
MGH36_P7_B07	-0.13918804551	red	1	0.20789	2.2385
MGH36_P7_B08	-1.32907068763	red	1	0.16864	4.7135
MGH36_P7_B09	NA	black	0	0.10165	0
MGH36_P7_B10	0.23400856365	red	1	1.9302	2.3303
MGH36_P7_B11	0.145620315675	red	1	0.19156	1.605
MGH36_P7_B12	0.622192512083	green3	2	0.082703	0.72247
MGH36_P7_C11	-0.37935049074	red	1	1.6717	1.1023
MGH36_P7_D01	0.632255746999	green3	2	0.052416	0.74502
MGH36_P7_D02	0.679791595146	green3	2	0.10165	0.58015
MGH36_P7_D03	-0.615474919541	red	1	0.098958	3.1207
MGH36_P7_D05	-1.27461946695	red	1	0.14926	4.537
MGH36_P7_D06	-0.743093678331	red	1	0.1375	3.4354
MGH36_P7_D07	0.0738995572213	red	1	0.85679	0.22033
MGH36_P7_D08	0.891827136281	red	1	0.13488	0.08134
MGH36_P7_D09	-0.552624910084	red	1	0.20664	3.1567
MGH36_P7_D10	0.673467630775	green3	2	0.2762	0.23389
MGH36_P7_D11	0.641759770442	green3	2	0.29396	0.26903
MGH36_P7_E01	NA	black	0	0	1.679
MGH36_P7_E03	0.692383395894	green3	2	0.12565	0.514
MGH36_P7_E04	0.708986369293	green3	2	0.24367	0.22897
MGH36_P7_E05	0.423472539265	red	1	0.13356	1.0566
MGH36_P7_E07	NA	black	0	0	0.14796
MGH36_P7_E08	NA	black	0	0.33914	0
MGH36_P7_E10	0.478208156666	red	1	0.10434	0.9782
MGH36_P7_E12	NA	black	0	0	0.2857
MGH36_P7_F01	-0.381405029851	red	1	0.15316	2.7194
MGH36_P7_F02	-1.19681460467	red	1	0.03984	4.0862
MGH36_P7_F03	-0.951404179992	red	1	0.034216	3.6362
