Cell_name	Zvalue	Color	Cluster	ERAP2	IRF1
MGH36_P6_B02	-1.53940477659	black	0	4.4274	1.0405
MGH53_P4_G06	0.315307836727	green3	2	0.10702	0.7433
MGH36_P8_F01	2.94390253677	black	0	2.9292	2.8335
MGH36_P9_F06	-3.70960608971	black	0	4.7285	0.52707
MGH36_P5_H04	NA	black	0	0	2.281
MGH53_P1_B03	0.287170469808	green3	2	0.1003	0.80653
MGH53_P2_D05	NA	black	0	0	1.5271
MGH36_P4_G12	0.148923270248	green3	2	0.27977	0.94411
MGH53_P2_D11	NA	black	0	0	0.85599
MGH53_P4_C02	NA	black	0	0	0.77484
MGH53_P4_F04	NA	black	0	0	1.0813
MGH36_P3_D10	0.018356222879	green3	2	0.21785	1.3086
MGH54_P2_F04	NA	black	0	0	3.9289
MGH36_P6_A03	NA	black	0	0	0.99349
MGH53_P1_F07	NA	black	0	0	0.82293
MGH36_P5_H08	0.0488779751519	green3	2	0.53207	0.96421
MGH54_P2_A04	-0.493007597422	red	1	3.6827	1.2762
MGH53_P4_E11	0.298679054034	green3	2	0.097611	0.7866
MGH53_P2_G03	NA	black	0	0	1.4372
MGH36_P3_F04	-2.58659178282	black	0	3.9946	0.64893
MGH54_P2_B02	NA	black	0	0	6.6996
MGH36_P5_C07	-1.52240826263	black	0	4.0382	0.98623
MGH53_P2_E02	NA	black	0	0	2.1789
MGH54_P2_F09	-1.03367985018	black	0	1.8856	0.53107
MGH36_P3_D05	NA	black	0	0	3.4429
MGH36_P5_F12	0.16251365713	green3	2	0.27023	0.91609
MGH53_P2_H09	NA	black	0	0	1.5965
MGH54_P2_F07	NA	black	0	0	0.93282
MGH36_P5_D10	0.036971257	green3	2	0.18903	1.2702
MGH54_P2_F11	0.418428301334	green3	2	0.082703	0.56852
MGH53_P2_H04	NA	black	0	0	0.90689
MGH36_P6_F09	0.159449166462	green3	2	0.22033	0.97379
MGH36_P9_F05	NA	black	0	0	1.9829
MGH36_P8_G11	NA	black	0	0	0.32308
MGH54_P2_A07	-0.135006529643	green3	2	1.5797	1.2333
MGH36_P7_H06	NA	black	0	0	1.0286
