Cell_name	Zvalue	Color	Cluster	CTNNB1	NELFCD
MGH53_P1_B03	NA	black	0	0	0
MGH53_P2_D05	0.691053646037	green3	2	5.7083	4.9576
MGH36_P4_G12	2.84608961496	black	0	0.12035	1.7929
MGH53_P2_D11	NA	black	0	5.1	0
MGH53_P4_C02	0.0588826993323	green3	2	4.8577	4.1092
MGH53_P4_F04	NA	black	0	0.93282	0
MGH36_P3_D10	NA	black	0	3.1311	0
MGH54_P2_F04	NA	black	0	2.8098	0
MGH36_P6_A03	NA	black	0	0.69332	0
MGH53_P1_F07	-2.11680673447	black	0	6.121	1.6378
MGH36_P5_H08	-0.132802216861	green3	2	3.9646	2.0261
MGH54_P2_A04	NA	black	0	3.0937	0
MGH53_P4_E11	NA	black	0	3.6867	0
MGH53_P2_G03	NA	black	0	2.4515	0
MGH36_P3_F04	NA	black	0	1.6168	0
MGH54_P2_B02	NA	black	0	1.8139	0
MGH36_P5_C07	NA	black	0	5.2991	0
MGH53_P2_E02	NA	black	0	1.545	0
MGH54_P2_F09	0.345347259879	green3	2	5.0512	4.716
MGH36_P3_D05	NA	black	0	2.7437	0
MGH36_P5_F12	NA	black	0	1.8286	0
MGH53_P2_H09	NA	black	0	6.1322	0
MGH54_P2_F07	0.127986159708	green3	2	3.6389	1.1985
MGH36_P5_D10	-2.12579941515	black	0	5.1758	0.1137
MGH54_P2_F11	NA	black	0	0.6581	0
MGH53_P2_H04	-0.53218777381	green3	2	2.3573	4.8177
MGH36_P6_F09	NA	black	0	5.8601	0
MGH36_P9_F05	0.174784332684	green3	2	4.8054	4.4323
MGH36_P8_G11	NA	black	0	0	0
MGH54_P2_A07	-1.84541935568	black	0	2.0097	6.4354
MGH36_P7_H06	NA	black	0	4.4748	0
MGH53_P1_A01	-1.09847006881	green3	2	0.41359	4.6719
MGH53_P1_A02	NA	black	0	1.9542	0
MGH54_P2_E07	NA	black	0	2.0472	0
MGH53_P4_F07	-0.975330846336	green3	2	4.7014	1.2406
MGH53_P2_C05	0.678820324893	green3	2	2.3923	2.6306
MGH53_P4_H07	NA	black	0	0.96643	0
MGH53_P2_C06	NA	black	0	2.8614	0
MGH36_P3_F03	NA	black	0	1.2714	0
MGH36_P2_A10	NA	black	0	1.7088	0
MGH53_P4_E03	NA	black	0	0.81803	0
MGH36_P9_D12	NA	black	0	5.2994	0
MGH54_P2_H03	NA	black	0	3.0946	0
MGH36_P4_D06	0.351698121725	green3	2	0.24732	3.5751
MGH53_P2_B03	NA	black	0	4.6734	0
MGH53_P4_F03	NA	black	0	6.0434	0
MGH36_P10_E09	NA	black	0	5.2632	0
MGH53_P1_G02	NA	black	0	2.5719	0
MGH54_P2_A02	NA	black	0	2.7557	0
MGH36_P3_A07	NA	black	0	4.4226	0
MGH53_P4_E12	NA	black	0	0	5.698
MGH54_P2_A03	NA	black	0	2.1023	0
MGH53_P4_E10	3.20990374744	black	0	1.1077	0.67627
MGH54_P2_D08	NA	black	0	5.5463	0
MGH36_P8_A02	0.17810443916	green3	2	5.2634	4.2968
MGH54_P2_B07	NA	black	0	2.0555	0
MGH53_P1_B10	NA	black	0	3.9345	0
MGH53_P2_F08	-1.41110140791	red	1	5.5505	1.8965
MGH36_P10_A01	NA	black	0	2.8466	0
MGH36_P10_F01	NA	black	0	2.7868	0
MGH53_P4_G03	0.825600592998	green3	2	6.3305	4.8707
MGH53_P1_F12	NA	black	0	5.427	0
MGH36_P4_B03	NA	black	0	2.8428	0
MGH54_P2_C07	NA	black	0	4.7374	0
MGH53_P1_B02	3.20459168833	black	0	0.43403	1.3208
MGH54_P2_D05	NA	black	0	4.641	0
MGH53_P2_C08	NA	black	0	5.2102	0
MGH53_P4_H09	NA	black	0	3.0316	0
MGH36_P8_H02	NA	black	0	2.9366	0
MGH36_P10_H10	NA	black	0	2.8852	0
MGH53_P1_A12	0.0343135014786	green3	2	4.1075	4.2741
MGH36_P8_F08	NA	black	0	2.3525	0
MGH53_P1_D10	NA	black	0	0	0
