Cell_name	Zvalue	Color	Cluster	POU5F1	THY1
MGH36_P6_A11	0.531022275279	green3	2	0.47923	4.4067
MGH36_P6_B03	NA	black	0	2.3782	0
MGH36_P6_B04	-1.43946937463	black	0	0.514	6.3036
MGH36_P6_B05	-1.35421866278	black	0	0.44361	6.1234
MGH36_P6_B06	-0.0951051938373	green3	2	1.2277	5.3666
MGH36_P6_B10	-0.163210848306	green3	2	1.5573	3.9747
MGH36_P6_B11	0.288593465462	green3	2	1.0566	4.1746
MGH36_P6_B12	-1.08066111749	red	1	1.6951	1.6168
MGH36_P6_C02	-0.0318115914688	green3	2	1.3735	6.0884
MGH36_P6_C03	-0.0764864071049	green3	2	1.4699	3.8994
MGH36_P6_C04	NA	black	0	1.2382	0
MGH36_P6_C05	0.0570991723057	green3	2	1.0405	4.7555
MGH36_P6_C06	-0.0397529238534	green3	2	1.4515	4.1911
MGH36_P6_C07	0.272261814413	green3	2	0.51197	4.6376
MGH36_P6_C08	-0.0964808427746	green3	2	1.2461	5.4325
MGH36_P6_C09	0.109504171772	green3	2	1.6318	5.2852
MGH36_P6_C11	NA	black	0	2.0888	0
MGH36_P6_C12	-0.22899711606	green3	2	1.1063	5.565
MGH36_P6_D01	-0.361096833	green3	2	0.82701	5.4382
MGH36_P6_D02	0.0525613208322	green3	2	2.4035	4.9135
MGH36_P6_D03	NA	black	0	1.269	0
MGH36_P6_D04	0.460286691619	green3	2	1.8552	5.7412
MGH36_P6_D05	0.00199906038114	green3	2	1.3868	4.7602
MGH36_P6_D06	-0.403994860743	green3	2	1.0587	5.9177
MGH36_P6_D07	0.0127087800768	green3	2	1.4558	5.0783
MGH36_P6_D08	-0.968728484159	red	1	0.96938	6.8538
MGH36_P6_D10	0.184766927392	green3	2	1.0201	4.4759
MGH36_P6_D11	1.12626651828	cyan	4	0.94711	2.7883
MGH36_P6_E02	0.992936293346	cyan	4	2.9458	5.4109
MGH36_P6_E03	0.223573299981	green3	2	1.0286	4.3773
MGH36_P6_E04	-0.539863677308	green3	2	0.3774	5.3572
MGH36_P6_E05	-0.540746970146	green3	2	1.069	6.3137
MGH36_P6_E06	NA	black	0	1.4521	0
MGH36_P6_E07	-0.539307780408	green3	2	0.92067	5.8663
MGH36_P6_E08	-2.1793241692	black	0	1.9385	1.3214
MGH36_P6_E09	2.31071071457	black	0	0.61259	2.4024
MGH36_P6_E10	-0.305234815297	green3	2	1.229	6.4677
MGH36_P6_E11	-0.0085248041376	green3	2	1.291	4.9547
MGH36_P6_E12	0.239678478405	green3	2	1.6875	5.5912
MGH36_P6_F01	-0.0854723427472	green3	2	1.263	5.4303
MGH36_P6_F04	0.213068295522	green3	2	0.76977	4.6064
MGH36_P6_F06	NA	black	0	1.051	0
MGH36_P6_F07	0.17669437063	green3	2	0.83996	4.6246
MGH36_P6_F08	-1.08438494901	red	1	1.0151	7.3632
MGH36_P6_F10	0.172370842602	green3	2	1.4916	6.4192
MGH36_P6_F12	0.0074324309543	green3	2	1.3225	4.8049
MGH36_P6_G01	-0.0442216625062	green3	2	1.3522	5.727
MGH36_P6_G02	0.0747591408379	green3	2	0.76469	4.7954
MGH36_P6_G03	0.0256324217934	green3	2	1.275	4.7125
MGH36_P6_G04	0.012021795581	green3	2	1.5306	4.9623
MGH36_P6_G05	-0.00114636904244	green3	2	1.4636	4.869
MGH36_P6_G06	0.149803080845	green3	2	0.65901	4.7247
MGH36_P6_G07	NA	black	0	1.3584	0
MGH36_P6_G08	0.553738847149	green3	2	2.2857	5.4066
MGH36_P6_G09	NA	black	0	0.96717	0
MGH36_P6_G10	-0.132577645322	green3	2	1.0165	5.1897
MGH36_P6_G11	0.0761976123788	green3	2	1.3357	3.9167
MGH36_P6_G12	0.462042943538	green3	2	0.96495	3.987
MGH36_P6_H06	-0.164492920442	green3	2	0.88362	5.1684
MGH36_P6_H07	0.260698050046	green3	2	1.543	6.3984
MGH36_P6_H10	3.19501526781	black	0	0.83915	0.123
MGH36_P6_H12	-0.350954539034	green3	2	1.0524	5.7655
MGH36_P7_A01	-0.197272058221	green3	2	1.0029	5.3204
MGH36_P7_A02	-0.334940525302	green3	2	1.0356	5.6866
MGH36_P7_A03	-0.087033921584	green3	2	1.1827	5.2349
MGH36_P7_A04	0.511698054473	green3	2	1.8639	5.8191
MGH36_P7_A06	-0.117259923381	green3	2	1.2491	5.5649
MGH36_P7_A07	NA	black	0	1.3121	0
MGH36_P7_A08	NA	black	0	2.0573	0
MGH36_P7_A09	-0.134409168912	green3	2	1.751	4.5497
MGH36_P7_A10	-2.35002370878	black	0	1.8887	0.62199
MGH36_P7_A11	-0.19801704018	green3	2	1.1972	5.7387
MGH36_P7_A12	-0.0507836328095	green3	2	1.3219	5.4582
MGH36_P7_B01	-0.114290534347	green3	2	1.1467	5.2792
MGH36_P7_B02	0.0879342710312	green3	2	1.5864	5.2849
