Cell_name	Zvalue	Color	Cluster	POU2AF1	POU2F1
MGH36_P4_A10	-0.236839157914	green3	2	0.5008	0.067639
MGH36_P6_B02	NA	black	0	0	0
MGH53_P4_G06	-0.20433876113	green3	2	0.49057	0.082703
MGH36_P8_F01	NA	black	0	0	0.74502
MGH36_P9_F06	NA	black	0	0	1.3121
MGH36_P5_H04	0.758719774548	green3	2	0.13356	0.060739
MGH53_P1_B03	NA	black	0	0	0.038436
MGH53_P2_D05	NA	black	0	0	0.067639
MGH36_P4_G12	NA	black	0	0.24732	0
MGH53_P2_D11	NA	black	0	0	0.18903
MGH53_P4_C02	NA	black	0	0.22527	0
MGH53_P4_F04	NA	black	0	0	0.049631
MGH36_P3_D10	NA	black	0	0	0
MGH54_P2_F04	NA	black	0	0	2.5321
MGH36_P6_A03	NA	black	0	0.056584	0
MGH53_P1_F07	0.542803480318	green3	2	0.20914	0.096262
MGH36_P5_H08	0.580163644339	green3	2	0.20664	0.038436
MGH54_P2_A04	-0.0418515161658	green3	2	0.43082	0.048236
MGH53_P4_E11	NA	black	0	0.10702	0
MGH53_P2_G03	-0.883143895405	green3	2	0.73031	0.09356
MGH36_P3_F04	0.631457826607	green3	2	0.17505	0.092207
MGH54_P2_B02	NA	black	0	0.74502	0
MGH36_P5_C07	0.293536328491	green3	2	0.22897	0.5008
MGH53_P2_E02	0.470775327235	green3	2	0.24853	0.028569
MGH54_P2_F09	0.0429419583529	green3	2	0.39944	0.26544
MGH36_P3_D05	0.378591072883	green3	2	0.27739	0.064883
MGH36_P5_F12	NA	black	0	0.094912	0
MGH53_P2_H09	NA	black	0	0.6248	0
MGH54_P2_F07	-0.191695594206	green3	2	0.4844	0.062122
MGH36_P5_D10	-0.0252720891943	green3	2	0.42438	0.020058
MGH54_P2_F11	NA	black	0	0.17632	0
MGH53_P2_H04	NA	black	0	0.50995	0
MGH36_P6_F09	NA	black	0	0.24367	0
MGH36_P9_F05	NA	black	0	0	0.37295
MGH36_P8_G11	NA	black	0	0	0
MGH54_P2_A07	NA	black	0	0	0.9313
MGH36_P7_H06	1.10307536527	green3	2	0.012926	0.02432
MGH53_P1_A01	NA	black	0	0.20163	0
MGH53_P1_A02	-0.0795914353349	green3	2	0.35163	1.4356
MGH54_P2_E07	NA	black	0	0.12168	0
MGH53_P4_F07	-1.20828935235	green3	2	0.8335	0.077243
MGH53_P2_C05	0.0362959202483	green3	2	0.39287	0.64708
MGH53_P4_H07	-0.161360454817	green3	2	0.54201	0.60502
MGH53_P2_C06	NA	black	0	0	0
MGH36_P3_F03	-1.01997868794	green3	2	0.75873	0.038436
MGH36_P2_A10	-0.118987193363	green3	2	0.45838	0.056584
MGH53_P4_E03	NA	black	0	0	0.23634
MGH36_P9_D12	0.127267234999	green3	2	0.6332	1.3482
MGH54_P2_H03	-0.435943621738	green3	2	0.56852	0.055196
MGH36_P4_D06	0.0844718203257	green3	2	0.38626	0.031395
MGH53_P2_B03	-0.599803739353	green3	2	0.62574	0.062122
MGH53_P4_F03	NA	black	0	0	0.12168
MGH36_P10_E09	NA	black	0	0.20789	0
MGH53_P1_G02	-0.44326656548	green3	2	0.24975	1.923
MGH54_P2_A02	-1.09082533175	green3	2	0.80653	0.10969
MGH36_P3_A07	NA	black	0	0	0
MGH53_P4_E12	-0.746045659425	green3	2	0.123	1.9138
MGH54_P2_A03	NA	black	0	0	0
MGH53_P4_E10	0.703318364888	green3	2	0.15316	0.067639
MGH54_P2_D08	NA	black	0	0	0.048236
MGH36_P8_A02	NA	black	0	0	0.7277
MGH54_P2_B07	0.08007326097	green3	2	0.47508	1.9157
MGH53_P1_B10	NA	black	0	0	0.041243
MGH53_P2_F08	NA	black	0	0	1.4489
MGH36_P10_A01	NA	black	0	0	0.25338
MGH36_P10_F01	NA	black	0	0.19912	0
MGH53_P4_G03	-0.0566211222585	green3	2	0.43616	0.052416
MGH53_P1_F12	NA	black	0	0.50284	0
MGH36_P4_B03	-3.40001310349	black	0	1.5226	0.10165
MGH54_P2_C07	0.657239407503	green3	2	0.1776	0.03984
MGH53_P1_B02	NA	black	0	0	0.21661
MGH54_P2_D05	NA	black	0	0	0
MGH53_P2_C08	NA	black	0	0	0.089498
MGH53_P4_H09	-0.946040163822	green3	2	0.73031	0.0229
MGH36_P8_H02	NA	black	0	0	0
MGH36_P10_H10	NA	black	0	0.26424	0
MGH53_P1_A12	0.0519931596668	green3	2	0.37072	0.72421
MGH36_P8_F08	NA	black	0	0	0
MGH53_P1_D10	NA	black	0	0	1.7532
MGH53_P4_A09	0.109758987548	green3	2	0.37629	0.073135
MGH53_P2_H08	NA	black	0	0	0.16092
MGH36_P4_A09	0.0374963227493	green3	2	0.40272	0.049631
MGH53_P4_C08	-1.30240477458	red	1	0.18015	2.8258
MGH36_P5_E04	NA	black	0	0	0
MGH53_P2_A07	NA	black	0	0.23511	0
MGH54_P2_G10	0.528517232752	green3	2	0.22774	0.027154
MGH36_P7_E06	NA	black	0	0.21785	0
MGH36_P9_D04	NA	black	0	0.57531	0
MGH53_P1_C12	NA	black	0	0	0.15316
