Cell_name	Zvalue	Color	Cluster	ATM	BRCA1
MGH54_P17_C12	NA	black	0	0.045443	0
MGH54_P17_D01	-1.99403004219	black	0	0.088142	3.0234
MGH54_P17_D02	NA	black	0	0	0
MGH54_P17_D03	NA	black	0	0.4957	0
MGH54_P17_D04	0.035198520116	green3	2	0.80074	0.29983
MGH54_P17_D05	NA	black	0	0	0
MGH54_P17_D06	NA	black	0	0.15963	0
MGH54_P17_D07	NA	black	0	0	0.28333
MGH54_P17_D09	NA	black	0	0	0.23143
MGH54_P17_D10	NA	black	0	0	0
MGH54_P17_D12	NA	black	0	0.28688	0
MGH54_P17_E01	NA	black	0	0	0
MGH54_P17_E02	NA	black	0	0.2762	0
MGH54_P17_E03	NA	black	0	0.37295	0
MGH54_P17_E04	NA	black	0	0.14926	0
MGH54_P17_E05	NA	black	0	0	0
MGH54_P17_E06	NA	black	0	0	0.54597
MGH54_P17_E07	NA	black	0	1.6327	0
MGH54_P17_E08	NA	black	0	0.15186	0
MGH54_P17_E09	NA	black	0	0.3173	0
MGH54_P17_E10	NA	black	0	0.88596	0
MGH54_P17_E11	NA	black	0	0	0
MGH54_P17_E12	NA	black	0	0.19409	0
MGH54_P17_F01	NA	black	0	0	0
MGH54_P17_F02	NA	black	0	0	0
MGH54_P17_F03	NA	black	0	3.1633	0
MGH54_P17_F04	NA	black	0	0.43723	0
MGH54_P17_F05	NA	black	0	0	0
MGH54_P17_F07	NA	black	0	0.089498	0
MGH54_P17_F08	NA	black	0	0	0
MGH54_P17_F09	NA	black	0	0.9115	0
MGH54_P17_F10	NA	black	0	0	0
MGH54_P17_F11	NA	black	0	0.15445	0
MGH54_P17_F12	NA	black	0	0	0
MGH54_P17_G01	NA	black	0	0.22774	0
MGH54_P17_G02	NA	black	0	0	3.7241
MGH54_P17_G03	NA	black	0	0.079975	0
MGH54_P17_G04	NA	black	0	0.085425	0
MGH54_P17_G05	NA	black	0	0.089498	0
MGH54_P17_G06	NA	black	0	0.36289	0
MGH54_P17_G07	-1.05941402274	red	1	0.67807	3.939
MGH54_P17_G08	NA	black	0	0.063503	0
MGH54_P17_G09	NA	black	0	0	0.27262
MGH54_P17_G10	NA	black	0	0.055196	0
MGH54_P17_G11	0.242782268476	green3	2	0.027154	0.35502
MGH54_P17_G12	NA	black	0	0.67627	0
MGH54_P17_H01	NA	black	0	0.098958	0
MGH54_P17_H02	NA	black	0	0	0.28096
MGH54_P17_H05	NA	black	0	0.31846	0
MGH54_P17_H06	NA	black	0	0.22033	0
MGH54_P17_H07	NA	black	0	0.11636	0
MGH54_P17_H08	NA	black	0	0	0
MGH54_P17_H09	-0.545580075658	red	1	0.42008	1.7706
MGH54_P17_H10	-0.2808897931	red	1	1.5266	0.2228
MGH54_P17_H11	NA	black	0	2.6839	0
MGH54_P17_H12	NA	black	0	0.13488	0
MGH54_P6_A01	NA	black	0	0	0.42761
MGH54_P6_A02	NA	black	0	0	0
MGH54_P6_A03	NA	black	0	2.0776	0
MGH54_P6_A04	0.1908383612	green3	2	0.29631	0.32308
MGH54_P6_A05	0.205694273064	green3	2	0.11636	0.37518
MGH54_P6_A06	NA	black	0	0.42868	0
MGH54_P6_A07	-0.265258229773	red	1	1.7476	0.37295
MGH54_P6_A08	NA	black	0	0.5888	0
MGH54_P6_A09	NA	black	0	2.0979	0
MGH54_P6_A10	NA	black	0	0	0
MGH54_P6_A11	-0.911116392533	red	1	3.6719	0.42008
MGH54_P6_A12	NA	black	0	0.35952	0
MGH54_P6_B01	NA	black	0	0.29042	0
MGH54_P6_B02	NA	black	0	0	0
MGH54_P6_B03	5.87385956297	black	0	3.5736	3.244
MGH54_P6_B04	-0.0399209544002	red	1	1.0377	0.36849
MGH54_P6_B05	1.63863066317	black	0	1.7022	3.2431
MGH54_P6_B06	-2.10462318457	black	0	0.39726	4.2144
MGH54_P6_B07	-0.325277578775	red	1	1.7053	0.27501
MGH54_P6_B08	1.27114975008	black	0	1.4931	3.5797
MGH54_P6_B09	0.171601613735	green3	2	0.23266	0.38515
MGH54_P6_B10	NA	black	0	0	0.96421
MGH54_P6_B11	NA	black	0	0.72596	0
MGH54_P6_B12	NA	black	0	0	0
MGH54_P6_C01	NA	black	0	0.14926	0
MGH54_P6_C02	1.39414375236	black	0	1.5801	3.3327
MGH54_P6_C03	NA	black	0	0	0
MGH54_P6_C04	0.0214442898976	green3	2	0.7891	0.48336
MGH54_P6_C06	NA	black	0	0.22404	0
MGH54_P6_C07	NA	black	0	2.8848	0
MGH54_P6_C08	NA	black	0	0.41792	0
MGH54_P6_C09	NA	black	0	0.31615	0
MGH54_P6_C10	NA	black	0	0.1003	0
MGH54_P6_C11	NA	black	0	0.53207	0
MGH54_P6_C12	NA	black	0	0	0
MGH54_P6_D01	NA	black	0	0	0
MGH54_P6_D02	NA	black	0	2.0735	0
MGH54_P6_D03	NA	black	0	0.6397	0
MGH54_P6_D04	NA	black	0	0.16864	0
MGH54_P6_D05	-0.833016251572	red	1	2.4206	0.14535
MGH54_P6_D07	NA	black	0	0.22527	0
MGH54_P6_D08	-0.044424989332	red	1	0.81311	1.0942
MGH54_P6_D09	NA	black	0	0.24367	0
MGH54_P6_D10	NA	black	0	0.1865	0
MGH54_P6_D11	NA	black	0	0	0.36849
MGH54_P6_D12	NA	black	0	1.8082	0
MGH54_P6_E02	NA	black	0	0.33571	0
MGH54_P6_E03	0.323527528641	green3	2	0.28924	0.085425
MGH54_P6_E04	NA	black	0	0.10568	0
MGH54_P6_E05	NA	black	0	0.40926	0
MGH54_P6_E07	NA	black	0	0.39835	0
MGH54_P6_E08	NA	black	0	0.13619	0
MGH54_P6_E09	0.343776029372	green3	2	0.10434	0.18903
MGH54_P6_E10	NA	black	0	0	0
MGH54_P6_E11	NA	black	0	0.53107	0
MGH54_P6_E12	NA	black	0	2.7166	0
MGH54_P6_F01	-0.680715966612	red	1	2.2537	0.18777
MGH54_P6_F02	-0.0210896403793	green3	2	1.2552	0.62854
MGH54_P6_F03	0.173335765253	green3	2	0.22527	0.38515
MGH54_P6_F05	NA	black	0	0.14535	0
MGH54_P6_F06	NA	black	0	2.126	0
MGH54_P6_F07	NA	black	0	0.26183	0
MGH54_P6_F08	NA	black	0	1.3334	0
MGH54_P6_F09	NA	black	0	0.4489	0
MGH54_P6_F10	0.0586431338619	green3	2	0.40054	0.54201
MGH54_P6_F11	NA	black	0	0.75617	0
MGH54_P6_F12	NA	black	0	0	0
MGH54_P6_G01	NA	black	0	0.37629	0
MGH54_P6_G02	NA	black	0	0.19787	0
MGH54_P6_G03	-0.410472290007	red	1	0.097611	1.1859
MGH54_P6_G04	NA	black	0	1.972	0
MGH54_P6_G06	NA	black	0	0.098958	0
MGH54_P6_G07	NA	black	0	1.6112	0
MGH54_P6_G08	NA	black	0	0	0.3173
MGH54_P6_G09	NA	black	0	0.90227	0
MGH54_P6_G10	NA	black	0	0	0
MGH54_P6_G11	NA	black	0	0	0
MGH54_P6_G12	NA	black	0	0.29983	0
MGH54_P6_H01	-0.228538012614	red	1	0.02432	0.92752
MGH54_P6_H03	NA	black	0	0.66721	0
MGH54_P6_H05	0.0419378003379	green3	2	0.6581	0.49365
MGH54_P6_H06	NA	black	0	0	0
MGH54_P6_H07	0.15674762515	green3	2	0.29278	0.38626
MGH54_P6_H08	NA	black	0	0	0
MGH54_P6_H09	NA	black	0	3.2817	0
MGH54_P6_H10	NA	black	0	1.5023	0
MGH54_P6_H11	NA	black	0	2.1947	0
