Cell_name	Zvalue	Color	Cluster	BEX2	JUN
MGH54_P2_B02	NA	black	0	0	6.0643
MGH36_P5_C07	NA	black	0	0	6.3627
MGH53_P2_E02	NA	black	0	0	6.658
MGH54_P2_F09	NA	black	0	0	0
MGH36_P3_D05	NA	black	0	0	6.8341
MGH36_P5_F12	NA	black	0	0	6.4473
MGH53_P2_H09	NA	black	0	0	4.439
MGH54_P2_F07	NA	black	0	0	5.9845
MGH36_P5_D10	NA	black	0	0	7.3525
MGH54_P2_F11	NA	black	0	0	0
MGH53_P2_H04	NA	black	0	0	9.2752
MGH36_P6_F09	NA	black	0	0	5.9364
MGH36_P9_F05	NA	black	0	0	9.4007
MGH36_P8_G11	NA	black	0	0	2.6906
MGH54_P2_A07	NA	black	0	0	5.9526
MGH36_P7_H06	NA	black	0	0	4.4303
MGH53_P1_A01	NA	black	0	0	8.1636
MGH53_P1_A02	NA	black	0	0	6.7205
MGH54_P2_E07	NA	black	0	0	3.9924
MGH53_P4_F07	NA	black	0	0	2.7027
MGH53_P2_C05	NA	black	0	0	8.5424
MGH53_P4_H07	NA	black	0	0	5.4385
MGH53_P2_C06	NA	black	0	0	3.9373
MGH36_P3_F03	NA	black	0	0	5.5403
MGH36_P2_A10	NA	black	0	0	7.919
MGH53_P4_E03	NA	black	0	0	0
MGH36_P9_D12	NA	black	0	0	5.1324
MGH54_P2_H03	NA	black	0	0	0
MGH36_P4_D06	NA	black	0	0	0
MGH53_P2_B03	NA	black	0	0	6.5825
MGH53_P4_F03	NA	black	0	0	3.9417
MGH36_P10_E09	NA	black	0	0	4.3039
MGH53_P1_G02	NA	black	0	0	9.1535
MGH54_P2_A02	NA	black	0	0	0
MGH36_P3_A07	NA	black	0	0	6.2508
MGH53_P4_E12	NA	black	0	0	6.5531
MGH54_P2_A03	NA	black	0	0	0
MGH53_P4_E10	NA	black	0	0	1.4033
MGH54_P2_D08	NA	black	0	0	6.5891
MGH36_P8_A02	NA	black	0	0	1.9061
MGH54_P2_B07	NA	black	0	0	0
MGH53_P1_B10	NA	black	0	0	5.7113
MGH53_P2_F08	NA	black	0	0	5.353
MGH36_P10_A01	NA	black	0	0	6.0327
MGH36_P10_F01	NA	black	0	0	7.9573
MGH53_P4_G03	NA	black	0	0	0.20539
MGH53_P1_F12	NA	black	0	0	0
MGH36_P4_B03	NA	black	0	0	3.9606
MGH54_P2_C07	NA	black	0	0	5.5382
MGH53_P1_B02	NA	black	0	0	4.4576
MGH54_P2_D05	NA	black	0	0	5.4481
MGH53_P2_C08	NA	black	0	0	6.5736
MGH53_P4_H09	NA	black	0	0	0
MGH36_P8_H02	NA	black	0	0	6.3772
MGH36_P10_H10	NA	black	0	0	4.0773
MGH53_P1_A12	NA	black	0	0	6.1157
MGH36_P8_F08	NA	black	0	0	4.8278
MGH53_P1_D10	NA	black	0	0	1.0022
MGH53_P4_A09	NA	black	0	0	0
MGH53_P2_H08	NA	black	0	0	0
