Cell_name	Zvalue	Color	Cluster	BRCA1	IGF1
MGH36_P9_F06	6.21149733179	black	0	2.7566	3.0854
MGH36_P5_H04	-0.158344726953	red	1	0.056584	0.59264
MGH53_P1_B03	0.16928048415	green3	2	0.13619	0.073135
MGH53_P2_D05	-1.12804052949	black	0	0.54794	4.5755
MGH36_P4_G12	NA	black	0	0	1.6772
MGH53_P2_D11	0.115164856845	green3	2	0.23756	0.11902
MGH53_P4_C02	-1.39460494029	black	0	0.1865	2.6299
MGH53_P4_F04	NA	black	0	0	0.25942
MGH36_P3_D10	0.0489820523007	green3	2	0.41359	0.18396
MGH54_P2_F04	NA	black	0	0	0.15316
MGH36_P6_A03	0.128245705486	green3	2	0.20914	0.10836
MGH53_P1_F07	-3.26480937499	black	0	0.17377	4.9614
MGH36_P5_H08	NA	black	0	0	0
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	12.321513939	black	0	3.1489	5.0245
MGH53_P2_G03	NA	black	0	0	0.16736
MGH36_P3_F04	NA	black	0	0.15575	0
MGH54_P2_B02	NA	black	0	0	0
MGH36_P5_C07	-0.128309904437	red	1	0.21909	0.62199
MGH53_P2_E02	NA	black	0	0.11902	0
MGH54_P2_F09	0.14861032144	green3	2	0.11902	0.1177
MGH36_P3_D05	NA	black	0	0	0.18903
MGH36_P5_F12	0.190159220678	green3	2	0.14143	0.032806
MGH53_P2_H09	-3.70202334151	black	0	0.14012	5.2487
MGH54_P2_F07	NA	black	0	0	0.071763
MGH36_P5_D10	NA	black	0	0.14405	0
MGH54_P2_F11	0.0674279655912	green3	2	0.22033	0.22897
MGH53_P2_H04	NA	black	0	0.27023	0
MGH36_P6_F09	0.108793982384	green3	2	0.27023	0.11237
MGH36_P9_F05	NA	black	0	0	3.0993
MGH36_P8_G11	-1.46437899295	black	0	0.30334	3.2743
MGH54_P2_A07	-0.895690281903	black	0	0.24367	2.0604
MGH36_P7_H06	NA	black	0	0	2.6007
MGH53_P1_A01	-2.0102386168	black	0	0.17505	3.4238
MGH53_P1_A02	NA	black	0	0	3.1382
MGH54_P2_E07	NA	black	0	0	1.4641
MGH53_P4_F07	NA	black	0	0	0.10702
MGH53_P2_C05	0.036290278071	green3	2	0.47612	0.18015
MGH53_P4_H07	NA	black	0	0	0.098958
MGH53_P2_C06	NA	black	0	0	0.9313
MGH36_P3_F03	NA	black	0	0	0.1177
MGH36_P2_A10	0.0617432557629	green3	2	0.13356	0.26063
MGH53_P4_E03	NA	black	0	0	0
MGH36_P9_D12	NA	black	0	0	0.29631
MGH54_P2_H03	0.161958509967	green3	2	0.10299	0.10299
MGH36_P4_D06	-2.18242578983	black	0	0.11503	3.3749
MGH53_P2_B03	NA	black	0	0	4.0047
MGH53_P4_F03	NA	black	0	0	0.14926
MGH36_P10_E09	NA	black	0	0	0.52507
MGH53_P1_G02	0.0970511950261	green3	2	0.17377	0.1865
MGH54_P2_A02	NA	black	0	0	0
MGH36_P3_A07	NA	black	0	0	4.7842
MGH53_P4_E12	0.159841069355	green3	2	0.18015	0.063503
MGH54_P2_A03	NA	black	0	0	0.12035
MGH53_P4_E10	NA	black	0	0	0.24853
MGH54_P2_D08	NA	black	0	0	0.16092
MGH36_P8_A02	NA	black	0	0	1.2363
MGH54_P2_B07	0.131771540942	green3	2	0.25701	0.067639
MGH53_P1_B10	NA	black	0	0	0
MGH53_P2_F08	14.3694758458	black	0	5.0594	3.3868
MGH36_P10_A01	NA	black	0	0.26664	0
MGH36_P10_F01	NA	black	0	0	3.8381
MGH53_P4_G03	NA	black	0	0	1.281
MGH53_P1_F12	NA	black	0	0	3.6579
MGH36_P4_B03	-2.35191040453	black	0	0.19156	3.9491
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	NA	black	0	0	0
MGH54_P2_D05	NA	black	0	0	0.088142
MGH53_P2_C08	NA	black	0	0.31034	0
MGH53_P4_H09	NA	black	0	0	0.53306
MGH36_P8_H02	NA	black	0	0	0
MGH36_P10_H10	-2.70312180226	black	0	0.19409	4.4071
MGH53_P1_A12	0.124484885883	green3	2	0.20163	0.12035
MGH36_P8_F08	-2.36952981705	black	0	0.14012	3.7135
MGH53_P1_D10	-2.90070817808	black	0	0.24001	4.9426
MGH53_P4_A09	NA	black	0	0	0.08134
MGH53_P2_H08	NA	black	0	0	0
MGH36_P4_A09	-2.30272321826	black	0	0.40381	5.3682
MGH53_P4_C08	0.0935789382339	green3	2	0.25096	0.15963
MGH36_P5_E04	NA	black	0	0	0.11636
MGH53_P2_A07	NA	black	0	0	6.1976
MGH54_P2_G10	-2.48289347244	black	0	0.097611	3.6543
MGH36_P7_E06	NA	black	0	0	0.077243
MGH36_P9_D04	NA	black	0	0	0.12035
MGH53_P1_C12	15.6664250014	black	0	3.884	4.8974
MGH36_P8_F06	NA	black	0	0	3.4102
MGH36_P1_G11	NA	black	0	0	0
MGH53_P1_F02	NA	black	0	0	1.9034
MGH54_P2_D10	-1.5538831218	black	0	0.10299	2.5529
MGH36_P9_A08	NA	black	0	0	2.3901
MGH53_P2_H03	0.211466842107	green3	2	0.09356	0.027154
MGH53_P4_B03	NA	black	0	0	0.10969
MGH53_P1_F10	NA	black	0	0	0
MGH53_P4_B05	NA	black	0	0	0.086784
MGH53_P2_B08	NA	black	0	0	0.090853
MGH36_P3_B06	-0.22281698161	black	0	0.32423	0.93584
MGH36_P10_C02	-1.1987969194	black	0	0.28924	2.7577
MGH36_P2_E05	-2.84941085419	black	0	0.18269	4.5208
MGH54_P2_G09	NA	black	0	0	1.123
MGH54_P2_D12	NA	black	0	0	0.094912
MGH53_P2_H02	-2.65540438357	black	0	0.079975	3.7726
