Cell_name	Zvalue	Color	Cluster	IFNAR1	STAT3
MGH53_P4_C07	0.606068557496	red	1	0.25217	1.2054
MGH53_P6_H06	NA	black	0	0	6.2253
MGH36_P1_A01	2.6572771846	red	1	4.3554	5.1066
MGH36_P1_A02	NA	black	0	0.13619	0
MGH36_P1_A03	0.410659895206	red	1	2.2491	4.8359
MGH36_P1_A04	-0.254591111185	red	1	2.6501	1.4699
MGH36_P1_A05	-1.41718912112	red	1	0.1177	4.5011
MGH36_P1_A06	-1.43880306732	red	1	0.25701	4.7378
MGH36_P1_A08	-0.643301322895	red	1	0.20789	3.3377
MGH36_P1_A10	NA	black	0	0.12433	0
MGH36_P1_A12	-0.51586470757	red	1	2.4217	0.067639
MGH36_P1_B02	0.242468705934	red	1	2.8458	2.9048
MGH36_P1_B03	-0.206835935016	red	1	1.4163	3.6714
MGH36_P1_B04	0.278524977193	red	1	3.3767	2.7575
MGH36_P1_B06	0.617487048936	red	1	2.8061	3.9491
MGH36_P1_B07	-1.31796089006	red	1	0.25338	4.5258
MGH36_P1_B08	-1.01958911951	red	1	0.097611	3.8557
MGH36_P1_B09	-0.855760153687	red	1	0.24001	3.7219
MGH36_P1_B10	-0.355012979659	red	1	2.3291	0.48543
MGH36_P1_B11	-1.90366117974	red	1	0.21785	5.4514
MGH36_P1_B12	0.281258669426	red	1	0.11902	1.8086
MGH36_P1_C01	1.21574578357	red	1	0.12565	0.29866
MGH36_P1_C03	-1.00857062768	red	1	3.04	0.10299
MGH36_P1_C05	1.25485803344	red	1	0.19156	0.15186
MGH36_P1_C06	0.623526295636	red	1	2.6269	4.3418
MGH36_P1_C07	0.927914457024	red	1	3.3268	3.9287
MGH36_P1_C08	1.18506191587	red	1	0.29042	0.13881
MGH36_P1_C09	0.044864639073	red	1	2.2185	2.5649
MGH36_P1_C10	-2.14980378276	red	1	0.069015	5.5562
MGH36_P1_C11	1.35871421539	red	1	0.035624	0.17887
MGH36_P1_D01	-0.305564987035	red	1	0.27381	2.7945
MGH36_P1_D02	-0.533312186719	red	1	2.5553	0.38957
MGH36_P1_D03	0.505111673056	red	1	3.1873	3.265
MGH36_P1_D04	-0.130357057098	red	1	2.1817	1.3545
MGH36_P1_D06	0.297828039295	red	1	0.23389	1.748
MGH36_P1_D07	-0.0121172609557	red	1	1.7689	3.0812
MGH36_P1_D08	-1.50585108413	red	1	0.15704	4.6968
MGH36_P1_D09	1.11275861048	green3	2	3.7669	3.8144
MGH36_P1_D11	1.4006526004	red	1	0.032806	0.1177
MGH36_P1_F01	-1.6003652679	red	1	0.23634	4.978
MGH36_P1_F02	0.334350521668	red	1	2.2804	4.2041
MGH36_P1_F03	0.310927366678	red	1	1.4168	0.044044
MGH36_P1_F04	-0.00568870761447	red	1	0.19156	2.2678
MGH36_P1_F05	-0.170562457476	red	1	3.2276	1.9575
MGH36_P1_F06	0.93966145487	red	1	2.8067	4.8329
MGH36_P1_F08	0.313667741256	red	1	3.4364	2.7985
MGH36_P1_F11	0.635913160325	red	1	2.5881	4.4908
MGH36_P1_F12	-0.835227869173	red	1	2.7881	0.020058
MGH36_P1_G02	NA	black	0	0	5.025
MGH36_P1_G03	0.0155141181901	red	1	1.852	3.2621
MGH36_P1_G04	1.78488566872	red	1	3.6313	4.9308
MGH36_P1_G07	2.08896970369	red	1	3.9295	4.9465
MGH36_P1_G08	-0.625608917669	red	1	3.4023	1.2314
MGH36_P1_G09	0.550346224528	red	1	3.3453	3.2438
MGH36_P1_H02	1.47006966522	red	1	0.014355	0.034216
MGH36_P1_H03	-0.690070508208	red	1	3.5483	1.2209
MGH36_P1_H04	-0.496975549558	red	1	0.070389	3.0261
MGH36_P1_H05	0.83488282695	red	1	0.77653	0.053806
MGH36_P1_H06	0.379915383325	red	1	1.3115	0.14666
MGH36_P1_H07	0.134898424436	red	1	1.962	4.791
MGH36_P1_H09	0.320531206824	red	1	2.5967	3.371
MGH36_P1_H10	1.39668781771	red	1	0.045443	0.10836
MGH36_P3_A01	0.914166909162	red	1	0.34369	0.56657
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	-0.572832932915	red	1	0.40817	3.358
MGH36_P3_A04	-1.40586991559	red	1	3.7784	0.3774
MGH36_P3_A05	-1.19888457855	red	1	0.12035	4.1604
MGH36_P3_A08	1.14284306613	green3	2	0.28096	0.22774
MGH36_P3_A09	NA	black	0	0	0.40272
MGH36_P3_A10	-1.27683224331	red	1	0.15056	4.3201
MGH36_P3_A12	0.422163031195	red	1	2.4484	4.0636
MGH36_P3_B02	1.70574022489	red	1	4.1071	4.2873
MGH36_P3_B03	0.982448673113	red	1	0.49978	0.21909
MGH36_P3_B04	-0.436462890712	red	1	0.53406	3.1806
MGH36_P3_B09	1.19845801936	red	1	0.22033	0.21039
MGH36_P3_B10	1.80454634777	red	1	3.8942	4.6207
MGH36_P3_B11	-1.24639070391	red	1	0.30801	4.481
MGH36_P3_B12	-0.802473976587	red	1	1.0398	5.0323
MGH36_P3_C01	-1.17726014699	red	1	3.446	0.36401
MGH36_P3_C03	1.14488488004	green3	2	0.32998	0.15575
MGH36_P3_C04	-0.541046704808	red	1	2.8321	0.87106
MGH36_P3_C05	0.886482068019	red	1	0.19283	0.77231
MGH36_P3_C06	0.709097731206	red	1	3.3307	3.5349
MGH36_P3_C08	-1.58296586488	red	1	0.52406	5.5409
MGH36_P3_C11	-1.62721247421	red	1	0.2228	4.9999
MGH36_P3_C12	-0.749186769447	red	1	0.19787	3.5068
MGH36_P3_D01	-0.81357062775	red	1	0.20539	3.62
MGH36_P3_D02	NA	black	0	0	2.3887
MGH36_P3_D03	NA	black	0	0.32998	0
MGH36_P3_D04	-1.29939482547	red	1	0.52707	4.9654
MGH36_P3_D07	NA	black	0	0.57143	0
MGH36_P3_D08	NA	black	0	0	2.7805
MGH36_P3_D09	-1.00660949126	red	1	0.27023	4.0121
MGH36_P3_D11	-0.221956816826	red	1	1.5003	4.1649
MGH36_P3_E02	1.11623633067	green3	2	0.064883	0.52306
MGH36_P3_E04	0.621725919651	red	1	0.44784	1.0222
MGH36_P3_E05	1.15950034721	green3	2	0.19283	0.3115
MGH36_P3_E06	1.1836034569	red	1	0.23143	0.22157
MGH36_P3_E07	1.2737603932	red	1	0.092207	0.24489
MGH36_P3_E08	-1.44445498841	red	1	0.18903	4.6439
MGH36_P3_E09	0.168701934241	red	1	0.43403	1.9287
MGH36_P3_E10	-0.767090491414	red	1	2.9428	0.48027
MGH36_P3_E11	NA	black	0	4.6949	0
