Cell_name	Zvalue	Color	Cluster	CCL5	IRF1
MGH36_P1_C08	0.0735156323217	green3	2	2.2618	0.90689
MGH36_P1_C09	-2.3792972919	black	0	1.745	2.7
MGH36_P1_C10	0.62963575961	blue	3	1.7765	0.45628
MGH36_P1_C11	-4.36903115613	black	0	1.3857	3.0484
MGH36_P1_D01	1.15502812456	black	0	0.99711	0.47508
MGH36_P1_D02	1.58029928274	black	0	1.0683	0.23143
MGH36_P1_D03	0.280321081669	green3	2	1.9486	0.78827
MGH36_P1_D04	0.749251486699	blue	3	1.0108	0.6663
MGH36_P1_D06	0.31131884197	green3	2	1.8303	0.82049
MGH36_P1_D07	0.882072240791	blue	3	1.5969	0.36961
MGH36_P1_D08	-1.19442661382	black	0	2.4141	3.3252
MGH36_P1_D09	0.172177886856	green3	2	2.0472	0.90381
MGH36_P1_D11	1.48218681602	black	0	0.91762	0.33914
MGH36_P1_F01	0.262906710466	green3	2	2.0218	0.73985
MGH36_P1_F02	-4.23390738371	black	0	1.7316	3.5389
MGH36_P1_F03	0.987518357826	blue	3	1.4885	0.36961
MGH36_P1_F04	1.7833338109	black	0	1.0895	0.10434
MGH36_P1_F05	0.746813397776	blue	3	1.7394	0.34937
MGH36_P1_F06	-0.776762100548	red	1	3.2144	0.8679
MGH36_P1_F08	1.47109034477	black	0	1.3386	0.11237
MGH36_P1_F11	27.347415933	black	0	8.1409	5.729
MGH36_P1_F12	1.04469684173	black	0	1.0573	0.51702
MGH36_P1_G02	-0.337019074735	green3	2	2.4367	2.3857
MGH36_P1_G03	1.14113323281	black	0	1.4457	0.2762
MGH36_P1_G04	0.844488523402	blue	3	1.1408	0.60502
MGH36_P1_G07	1.74290628235	black	0	0.90381	0.22033
MGH36_P1_G08	1.21880436464	black	0	1.2975	0.32654
MGH36_P1_G09	-5.79167700497	black	0	1.584	3.8759
MGH36_P1_H02	0.659166778959	blue	3	1.7485	0.45312
MGH36_P1_H03	1.55152157756	black	0	1.125	0.21785
MGH36_P1_H04	-0.19392631252	green3	2	2.6365	0.85679
MGH36_P1_H05	0.985949483088	blue	3	1.4436	0.40381
MGH36_P1_H06	0.926038284221	blue	3	0.75104	0.60122
MGH36_P1_H07	-0.379048179403	green3	2	1.1583	1.2104
MGH36_P1_H09	0.684471307375	blue	3	1.6069	0.55385
MGH36_P1_H10	1.11310183736	black	0	1.2388	0.42438
MGH36_P3_A01	-0.109011554954	green3	2	2.9707	1.2606
MGH36_P3_A02	-0.39427476659	green3	2	3.479	1.2552
MGH36_P3_A03	0.625763086895	blue	3	4.3977	1.8687
MGH36_P3_A04	-0.210154090695	green3	2	3.4967	1.3663
MGH36_P3_A05	0.159761018569	green3	2	2.1715	0.73118
MGH36_P3_A08	-0.677095072284	red	1	3.5649	1.1427
MGH36_P3_A09	0.086123477865	green3	2	2.1352	1.0349
MGH36_P3_A10	0.0975917555959	green3	2	2.9631	1.5079
MGH36_P3_A12	-0.256739002914	green3	2	2.8456	1.0079
MGH36_P3_B02	-0.0186995961944	green3	2	1.3477	1.0793
MGH36_P3_B03	-0.511342035736	green3	2	2.7935	0.65168
