Cell_name	Zvalue	Color	Cluster	L1TD1	NANOG
MGH36_P3_G12	-2.59567775139	black	0	0.42653	2.7027
MGH36_P3_H03	0.0217356050366	green3	2	0.82293	0.74932
MGH36_P3_H04	-0.153739601968	green3	2	1.0847	0.6581
MGH36_P3_H05	0.00136198191421	green3	2	0.852	0.8922
MGH36_P3_H07	0.0255855688708	green3	2	1.058	1.0022
MGH36_P3_H08	-0.109964271539	green3	2	1.1846	0.81885
MGH36_P3_H11	-0.0455345573903	green3	2	0.84639	1.2271
MGH36_P3_H12	-0.117719408061	green3	2	1.7238	0.99422
MGH36_P4_A01	-0.536422404693	red	1	1.1654	0.27739
MGH36_P4_A02	0.136751147907	green3	2	1.251	1.1257
MGH36_P4_A03	-0.104480486713	green3	2	1.3807	0.91073
MGH36_P4_A04	-6.14341076128	black	0	2.8826	0.045443
MGH36_P4_A06	0.057530955204	green3	2	0.75531	0.70487
MGH36_P4_A07	0.624707747905	blue	3	0.21537	0.42331
MGH36_P4_A08	NA	black	0	0.44042	0
MGH36_P4_A11	0.983903530367	black	0	1.8355	1.4906
MGH36_P4_A12	-0.00370100535906	green3	2	0.9313	0.88908
MGH36_P4_B02	0.0894101742901	green3	2	1.025	1.224
MGH36_P4_B04	-0.362347735932	green3	2	0.91227	2.8779
MGH36_P4_B05	0.181983383789	green3	2	0.70487	0.42868
MGH36_P4_B06	-0.615081590711	red	1	1.3735	0.514
MGH36_P4_B08	0.108903418449	green3	2	0.77484	0.39616
MGH36_P4_B09	-0.289550096759	green3	2	1.0307	0.2857
MGH36_P4_B12	0.0918414070367	green3	2	0.56852	0.74502
MGH36_P4_C02	0.0621679410085	green3	2	0.70399	0.7433
MGH36_P4_C03	0.0332174657325	green3	2	0.83512	0.37851
MGH36_P4_C04	-0.137117640375	green3	2	1.0349	0.60692
MGH36_P4_C05	0.283498026114	green3	2	0.58688	0.46153
MGH36_P4_C06	0.597686918825	blue	3	0.46467	0.23756
MGH36_P4_C07	-0.00611826045247	green3	2	0.87499	0.54597
MGH36_P4_C08	-0.186043180178	green3	2	1.0264	0.4813
MGH36_P4_C10	-0.57237828519	red	1	1.3907	0.56267
MGH36_P4_C11	-0.222315569534	green3	2	0.99928	0.31615
MGH36_P4_C12	-0.0899250173791	green3	2	1.168	0.83512
MGH36_P4_D01	-0.0312252965548	green3	2	0.99422	0.8213
MGH36_P4_D02	-0.146899722748	green3	2	1.0314	0.57821
MGH36_P4_D05	-0.530444372495	red	1	1.5907	0.73466
MGH36_P4_D07	0.0377488847505	green3	2	1.3317	1.0201
MGH36_P4_D08	-0.471064396465	green3	2	1.3533	0.60407
MGH36_P4_D09	-1.0511319438	black	0	1.6839	0.53506
MGH36_P4_D10	0.226743915769	green3	2	1.5724	1.1583
MGH36_P4_D11	-0.335411058648	green3	2	1.5524	0.82456
MGH36_P4_D12	0.113179175472	green3	2	0.77062	0.40163
MGH36_P4_E01	0.201879537568	green3	2	0.64524	0.51501
MGH36_P4_E02	0.020092209119	green3	2	0.83996	0.20414
MGH36_P4_E04	NA	black	0	1.6672	0
MGH36_P4_E06	0.0781000973961	green3	2	0.76469	0.60502
MGH36_P4_E07	-0.116032345113	green3	2	0.53107	0.98331
MGH36_P4_E08	0.237149440169	green3	2	1.0731	1.5504
MGH36_P4_E09	-0.12924467756	green3	2	1.6439	0.96938
MGH36_P4_E10	-0.169744062045	green3	2	1.1629	0.72421
MGH36_P4_E11	0.04892929933	green3	2	0.53406	0.80074
MGH36_P4_E12	0.668083509185	blue	3	1.7727	1.3635
MGH36_P4_F01	NA	black	0	0.80818	0
MGH36_P4_F02	0.940533621662	black	0	1.1654	4.1407
MGH36_P4_F03	0.513610617567	blue	3	0.4916	0.29278
MGH36_P4_F04	NA	black	0	0.56949	0
MGH36_P4_F05	-0.288520071669	green3	2	1.1699	0.58015
MGH36_P4_F06	-0.166638272189	green3	2	1.4568	0.89142
MGH36_P4_F07	NA	black	0	1.3522	0
MGH36_P4_F09	NA	black	0	1.0215	0
MGH36_P4_F10	0.0332475070465	green3	2	0.83512	0.39287
MGH36_P4_F11	-0.202661275369	green3	2	1.0573	0.52105
MGH36_P4_F12	0.146826423126	green3	2	0.53804	0.68527
MGH36_P4_G01	-0.417107809612	green3	2	1.0813	0.22651
MGH36_P4_G02	0.0383413862009	green3	2	0.78325	0.73725
MGH36_P4_G03	-0.25119988068	green3	2	1.3471	0.77653
MGH36_P4_G04	NA	black	0	0.57434	0
MGH36_P4_G05	-1.89556566009	black	0	1.8703	0.33457
MGH36_P4_G06	0.112524366781	green3	2	0.78576	0.23511
MGH36_P4_G08	0.221453343623	green3	2	0.66266	0.44148
MGH36_P4_G09	0.0214905812329	green3	2	0.72159	0.83431
MGH36_P4_G10	-0.880020305747	black	0	1.3242	0.24732
MGH36_P4_G11	1.04981644441	black	0	0.14274	0.20789
MGH36_P4_H01	0.157189090305	green3	2	0.64985	0.59455
MGH36_P4_H02	0.0149342891367	green3	2	0.62012	0.848
MGH36_P4_H03	-0.701224555419	red	1	1.5811	0.63599
MGH36_P4_H04	0.417272784807	blue	3	0.5888	0.24245
MGH36_P4_H05	NA	black	0	0.8024	0
MGH36_P4_H09	9.97658399598e-05	green3	2	0.88206	0.90381
MGH36_P4_H12	-0.048489612652	green3	2	0.85997	1.3161
MGH36_P6_A02	NA	black	0	1.1551	0
MGH36_P6_A04	NA	black	0	0.89064	0
MGH36_P6_A05	-0.241801885121	green3	2	1.3657	0.79494
MGH36_P6_A07	0.339148472132	green3	2	0.49774	0.48646
MGH36_P6_A08	-0.618518015023	red	1	0.36961	1.2851
MGH36_P6_A09	-0.0120634653028	green3	2	1.1263	0.93282
MGH36_P6_A10	0.109369113577	green3	2	0.56755	0.72247
MGH36_P6_A11	0.40361290123	blue	3	0.20163	0.56365
MGH36_P6_B03	NA	black	0	1.0573	0
MGH36_P6_B04	NA	black	0	0.20539	0
MGH36_P6_B05	NA	black	0	0.58015	0
MGH36_P6_B06	0.297434012593	green3	2	0.65627	0.28688
MGH36_P6_B10	0.622502198402	blue	3	0.44996	0.23266
MGH36_P6_B11	0.68208151733	blue	3	0.41468	0.22157
MGH36_P6_B12	NA	black	0	0.6248	0
MGH36_P6_C02	NA	black	0	0.86235	0
MGH36_P6_C03	-0.780874689164	red	1	1.3741	0.39287
MGH36_P6_C04	0.610041975696	blue	3	0.48749	0.18523
MGH36_P6_C05	-0.134464569717	green3	2	1.0186	0.57821
MGH36_P6_C06	-3.73751931362	black	0	0.46048	3.5014
MGH36_P6_C07	NA	black	0	0.37962	0
