Cell_name	Zvalue	Color	Cluster	HIF1A	LEP
MGH93_P7_F10	0.0199251676733	green3	2	3.1303	0.29748
MGH93_P7_C10	NA	black	0	4.2185	0
MGH93_P7_H07	NA	black	0	4.1668	0
MGH93_P7_H01	NA	black	0	4.5591	0
MGH93_P7_B10	NA	black	0	0	0.39835
MGH93_P7_F12	NA	black	0	0	0
MGH93_P7_F08	NA	black	0	5.6276	0
MGH93_P7_A01	NA	black	0	0	0
MGH93_P7_E11	NA	black	0	4.6854	0
MGH93_P7_E09	NA	black	0	6.1994	0
MGH93_P7_E05	NA	black	0	5.6464	0
MGH93_P7_D08	NA	black	0	0	0
MGH93_P7_D01	NA	black	0	5.5837	0
MGH93_P7_H11	NA	black	0	5.4948	0
MGH93_P7_H12	NA	black	0	0	0
MGH93_P7_D05	NA	black	0	0.41684	0
MGH93_P7_E04	NA	black	0	0	0
MGH93_P7_D04	NA	black	0	0	0
MGH93_P7_C06	-0.0191695026816	green3	2	4.9298	0.29396
MGH93_P7_E12	NA	black	0	5.8253	0
MGH93_P7_G06	NA	black	0	5.8421	0
MGH93_P7_B04	-3.23150147352	black	0	3.3602	2.1667
MGH93_P7_F03	NA	black	0	6.305	0
MGH93_P7_B12	NA	black	0	0	0
MGH93_P7_H04	NA	black	0	0.70576	0
MGH93_P7_A05	NA	black	0	3.889	0
MGH93_P7_D07	NA	black	0	5.5606	0
MGH93_P7_F01	NA	black	0	5.6456	0
MGH93_P7_F05	NA	black	0	2.0628	0
93_P10_H10	NA	black	0	3.8782	0
93_P10_E02	NA	black	0	4.7424	0
93_P9_C04	NA	black	0	3.8136	0
93_P9_A08	NA	black	0	2.2564	0
93_P9_G06	-0.00672590412968	green3	2	4.4176	0.25217
93_P8_F09	NA	black	0	4.2306	0
93_P8_G06	NA	black	0	4.2642	0
93_P9_E04	NA	black	0	5.0502	0
93_P10_D06	NA	black	0	5.3178	0
93_P9_B07	NA	black	0	4.949	0
93_P9_G08	NA	black	0	4.9313	0
93_P9_D04	0.187225830225	green3	2	3.2291	0.20163
93_P8_E07	NA	black	0	0	0
93_P9_H01	NA	black	0	1.1512	0
93_P9_B08	NA	black	0	5.233	0
93_P10_E03	NA	black	0	1.4782	0
93_P8_H09	NA	black	0	6.1022	0
93_P10_B02	NA	black	0	0	0
93_P8_B06	NA	black	0	5.4722	0
93_P10_E05	NA	black	0	4.7076	0
93_P8_E06	NA	black	0	5.0206	0
93_P10_A02	NA	black	0	5.8477	0
93_P8_B04	NA	black	0	4.9813	0
93_P8_C05	NA	black	0	4.585	0
93_P9_F12	-0.113446345454	green3	2	3.9561	0.48749
93_P10_A01	NA	black	0	4.6574	0
93_P8_A10	0.1317714698	green3	2	4.7321	0.54399
93_P9_B06	NA	black	0	6.2836	0
93_P10_D12	-0.568554958466	red	1	4.4185	3.1512
93_P8_D04	NA	black	0	4.436	0
93_P9_B10	NA	black	0	4.4663	0
93_P9_E12	NA	black	0	4.7109	0
