Cell_name	Zvalue	Color	Cluster	ATM	CFLAR
MGH54_P5_B05	-0.0781702241298	green3	2	0.13488	2.9575
MGH54_P5_B06	0.208077418653	green3	2	2.8856	3.051
MGH54_P5_B07	-0.604578762182	green3	2	1.7031	2.0036
MGH54_P5_B08	-0.0699102429004	green3	2	1.0172	1.8832
MGH54_P5_B09	0.495756163367	green3	2	0.13619	2.1645
MGH54_P5_B10	-0.262073669666	green3	2	1.7273	2.5145
MGH54_P5_B11	0.173996935376	green3	2	0.40272	2.5064
MGH54_P5_B12	0.230348298954	green3	2	2.5358	3.0847
MGH54_P5_C01	0.494605751439	green3	2	0.33914	1.9321
MGH54_P5_C02	0.0443315183407	green3	2	0.74932	2.6327
MGH54_P5_C03	0.394100510566	green3	2	0.08134	2.3417
MGH54_P5_C04	0.735545832645	green3	2	0.16864	1.7744
MGH54_P5_C05	0.151262420903	green3	2	0.089498	2.6558
MGH54_P5_C06	0.04311227612	green3	2	0.12829	2.7941
MGH54_P5_C07	0.0993514644329	green3	2	0.062122	2.7262
MGH54_P5_C08	-2.04383480086	black	0	0.15704	5.4517
MGH54_P5_C09	0.338050031305	green3	2	0.053806	2.4279
MGH54_P5_C10	0.0260509573558	green3	2	0.81639	2.6686
MGH54_P5_C11	-1.27276623927	red	1	0.22033	4.6478
MGH54_P5_C12	0.381225804557	green3	2	0.20289	2.2804
MGH54_P5_D01	NA	black	0	0	2.5385
MGH54_P5_D02	-0.276759347239	green3	2	1.9211	2.5789
MGH54_P5_D03	-0.527529068586	green3	2	0.34823	3.7776
MGH54_P5_D04	-3.02305584458	black	0	0.086784	6.3227
MGH54_P5_D05	NA	black	0	0	2.2101
MGH54_P5_D06	NA	black	0	0	2.3799
MGH54_P5_D08	NA	black	0	0	4.2247
MGH54_P5_D09	0.561628128359	green3	2	0.14926	2.0576
MGH54_P5_D10	-0.78746829332	green3	2	0.54992	4.743
MGH54_P5_D11	0.200212773507	green3	2	0.18523	2.5624
MGH54_P5_D12	0.0716297110485	green3	2	0.069015	2.7604
MGH54_P5_E01	0.633371331388	green3	2	0.28214	1.7655
MGH54_P5_E02	-1.38498917722	red	1	0.1177	4.5842
MGH54_P5_E03	-2.4800915579	black	0	0.15445	5.9481
MGH54_P5_E04	1.28473752423	green3	2	0.042644	1.2004
MGH54_P5_E05	NA	black	0	0	1.473
MGH54_P5_E06	-0.558859892326	green3	2	2.6808	2.5585
MGH54_P5_E07	0.0110845204775	green3	2	0.30918	2.8381
MGH54_P5_E08	-0.00747571513751	green3	2	0.070389	2.8598
MGH54_P5_E09	0.823846883482	green3	2	0.075875	1.7727
MGH54_P5_E10	0.0670359230536	green3	2	0.19156	2.7562
MGH54_P5_E11	0.539056614262	green3	2	0.064883	2.1629
MGH54_P5_E12	-0.364036066695	green3	2	2.1593	2.568
MGH54_P5_F01	0.84315154664	green3	2	0.27023	1.4071
MGH54_P5_F02	0.933059597237	green3	2	0.073135	1.6276
MGH54_P5_F03	-1.54576920466	black	0	2.9245	2.0528
MGH54_P5_F04	0.340934445111	green3	2	0.18015	2.357
MGH54_P5_F05	-0.310370769193	green3	2	1.6369	2.3843
MGH54_P5_F06	0.298104645596	green3	2	0.08134	2.4673
MGH54_P5_F07	NA	black	0	0	2.6478
MGH54_P5_F08	-0.0532428980741	green3	2	1.0419	2.2376
MGH54_P5_F10	NA	black	0	0	2.3118
MGH54_P5_F11	-1.56443482124	black	0	0.20414	4.9889
MGH54_P5_F12	-2.10688300485	black	0	0.075875	5.3144
