Cell_name	Zvalue	Color	Cluster	HMGA1	INSR
MGH36_P8_F01	0.189640569524	red	1	2.5941	3.5625
MGH36_P9_F06	0.397310524101	red	1	1.6608	0.67807
MGH36_P5_H04	2.04671602717	black	0	0.31499	0.0229
MGH53_P1_B03	NA	black	0	0	0
MGH53_P2_D05	NA	black	0	0	0
MGH36_P4_G12	0.10071707844	red	1	2.101	0.6397
MGH53_P2_D11	NA	black	0	0	0
MGH53_P4_C02	NA	black	0	0	0
MGH53_P4_F04	NA	black	0	0	0
MGH36_P3_D10	NA	black	0	0	0
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	-1.55002919896	red	1	3.7576	0.35952
MGH53_P1_F07	NA	black	0	4.2086	0
MGH36_P5_H08	NA	black	0	0	2.8148
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	NA	black	0	0	0.85599
MGH53_P2_G03	NA	black	0	0	0
MGH36_P3_F04	NA	black	0	0	3.5333
MGH54_P2_B02	NA	black	0	4.4101	0
MGH36_P5_C07	-0.0731296690073	red	1	2.9073	1.5455
MGH53_P2_E02	NA	black	0	0	0.72944
MGH54_P2_F09	NA	black	0	3.9863	0
MGH36_P3_D05	NA	black	0	1.1017	0
MGH36_P5_F12	0.314114400269	red	1	4.5987	2.0179
MGH53_P2_H09	NA	black	0	4.672	0
MGH54_P2_F07	NA	black	0	0	0
MGH36_P5_D10	NA	black	0	0	0
MGH54_P2_F11	NA	black	0	3.7799	0
MGH53_P2_H04	NA	black	0	3.9585	0
MGH36_P6_F09	NA	black	0	0	0.041243
MGH36_P9_F05	0.068706958019	red	1	3.625	1.8351
MGH36_P8_G11	NA	black	0	1.4808	0
MGH54_P2_A07	NA	black	0	0.45838	0
MGH36_P7_H06	0.893141786607	red	1	1.123	0.4678
MGH53_P1_A01	NA	black	0	0	0
MGH53_P1_A02	NA	black	0	3.2035	0
MGH54_P2_E07	NA	black	0	3.114	0
MGH53_P4_F07	NA	black	0	4.1458	0
MGH53_P2_C05	NA	black	0	0	0
MGH53_P4_H07	NA	black	0	0	1.2732
MGH53_P2_C06	NA	black	0	0	1.099
MGH36_P3_F03	NA	black	0	0	2.122
MGH36_P2_A10	NA	black	0	0	2.713
MGH53_P4_E03	NA	black	0	1.1922	0
MGH36_P9_D12	NA	black	0	0	2.0296
MGH54_P2_H03	0.582218996646	red	1	3.2857	2.6441
MGH36_P4_D06	NA	black	0	0	1.1833
MGH53_P2_B03	NA	black	0	0	0
MGH53_P4_F03	NA	black	0	1.0711	0
MGH36_P10_E09	NA	black	0	0	0.071763
MGH53_P1_G02	NA	black	0	0	0
MGH54_P2_A02	NA	black	0	0	0.31267
MGH36_P3_A07	NA	black	0	0	3.3186
MGH53_P4_E12	NA	black	0	0	0
MGH54_P2_A03	NA	black	0	4.5878	0
MGH53_P4_E10	NA	black	0	0	1.5941
MGH54_P2_D08	NA	black	0	0	0
MGH36_P8_A02	NA	black	0	0	1.2216
MGH54_P2_B07	NA	black	0	4.015	0
MGH53_P1_B10	NA	black	0	3.5672	0
MGH53_P2_F08	NA	black	0	0	0.53804
MGH36_P10_A01	NA	black	0	0	0.98112
MGH36_P10_F01	NA	black	0	0	1.3807
MGH53_P4_G03	NA	black	0	4.3409	0
MGH53_P1_F12	NA	black	0	0.76043	0
MGH36_P4_B03	-0.094256562493	red	1	3.1097	1.5641
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	NA	black	0	0.70221	0
MGH54_P2_D05	NA	black	0	1.1263	0
MGH53_P2_C08	NA	black	0	0	0
MGH53_P4_H09	NA	black	0	3.7425	0
MGH36_P8_H02	NA	black	0	0	1.1144
MGH36_P10_H10	0.0710274054484	red	1	0.9138	1.5165
MGH53_P1_A12	-2.45322835033	black	0	0.43082	3.2759
MGH36_P8_F08	-0.00905006978702	red	1	2.2265	1.8024
MGH53_P1_D10	-0.0403259290406	red	1	1.9313	1.797
MGH53_P4_A09	NA	black	0	4.0086	0
MGH53_P2_H08	NA	black	0	1.8914	0
MGH36_P4_A09	NA	black	0	0	1.2265
MGH53_P4_C08	NA	black	0	0	1.7706
MGH36_P5_E04	-0.176486253485	red	1	2.8199	1.2497
MGH53_P2_A07	NA	black	0	2.8526	0
MGH54_P2_G10	NA	black	0	1.6681	0
MGH36_P7_E06	NA	black	0	0	3.2008
MGH36_P9_D04	NA	black	0	0	0.42868
MGH53_P1_C12	NA	black	0	0	0
