Cell_name	Zvalue	Color	Cluster	CREB1	FLT1
MGH36_P6_H04	-9.23538088795	black	0	0.16864	4.2522
MGH36_P5_G05	-0.237160683067	red	1	0.015783	0.52406
MGH53_P4_B04	NA	black	0	0	0.22774
MGH53_P1_E05	NA	black	0	1.9256	0
MGH36_P10_A08	NA	black	0	0.11103	0
MGH36_P9_G01	0.353040299374	red	1	2.3956	0.57725
MGH53_P4_A06	0.0669115736969	red	1	0.123	0.37295
MGH36_P6_B09	NA	black	0	0.25338	0
MGH54_P2_D09	NA	black	0	0	0
MGH53_P1_E06	0.0336768145263	red	1	0.63784	0.37518
MGH36_P4_A10	0.467717147933	red	1	0.096262	0.15316
MGH36_P6_B02	NA	black	0	0.098958	0
MGH53_P4_G06	0.584993233777	red	1	0.11503	0.079975
MGH36_P8_F01	NA	black	0	0.16607	0
MGH36_P9_F06	NA	black	0	0	0.33571
MGH36_P5_H04	0.580662128504	red	1	0.082703	0.09356
MGH53_P1_B03	NA	black	0	0.25096	0
MGH53_P2_D05	0.212105634449	red	1	0.094912	0.29514
MGH36_P4_G12	0.488139043794	red	1	0.082703	0.14535
MGH53_P2_D11	NA	black	0	0	0.76893
MGH53_P4_C02	-1.63836610973	black	0	0.11902	1.2327
MGH53_P4_F04	NA	black	0	0	0.1903
MGH36_P3_D10	0.346812247679	red	1	0.25096	0.18523
MGH54_P2_F04	NA	black	0	0	0.34823
MGH36_P6_A03	0.508605387299	red	1	0.084064	0.13356
MGH53_P1_F07	0.371232262554	red	1	0.067639	0.21288
MGH36_P5_H08	NA	black	0	0	0.25338
MGH54_P2_A04	8.07518437534	black	0	2.8135	3.4327
MGH53_P4_E11	0.29739878533	red	1	0.053806	0.25459
MGH53_P2_G03	NA	black	0	0	3.282
MGH36_P3_F04	NA	black	0	0.17505	0
MGH54_P2_B02	-0.555981371614	red	1	0.28688	0.76384
MGH36_P5_C07	0.501587632274	red	1	0.074505	0.14012
MGH53_P2_E02	0.491571784929	red	1	0.045443	0.15316
MGH54_P2_F09	NA	black	0	0.045443	0
MGH36_P3_D05	-1.30110098503	black	0	0.12961	1.08
MGH36_P5_F12	0.698683874055	red	1	0.029983	0.04684
MGH53_P2_H09	-0.207249677491	red	1	0.13881	0.52406
MGH54_P2_F07	NA	black	0	0.051024	0
MGH36_P5_D10	0.625770798364	red	1	0.0229	0.088142
MGH54_P2_F11	NA	black	0	0.038436	0
MGH53_P2_H04	NA	black	0	0	0
MGH36_P6_F09	NA	black	0	1.6452	0
MGH36_P9_F05	-0.0262230260371	red	1	0.98477	0.55287
MGH36_P8_G11	NA	black	0	0.7031	0
MGH54_P2_A07	NA	black	0	0.051024	0
MGH36_P7_H06	9.3228334892	black	0	3.0454	3.4135
MGH53_P1_A01	NA	black	0	0.051024	0
MGH53_P1_A02	NA	black	0	0	3.6138
MGH54_P2_E07	-0.197066905799	red	1	0.04684	0.50792
MGH53_P4_F07	NA	black	0	0	0
MGH53_P2_C05	-0.635155564985	red	1	3.8717	0.33571
MGH53_P4_H07	0.123655423077	red	1	0.15963	0.33914
MGH53_P2_C06	NA	black	0	0	3.8605
MGH36_P3_F03	NA	black	0	0.123	0
MGH36_P2_A10	0.607967425696	red	1	0.027154	0.096262
MGH53_P4_E03	NA	black	0	1.9605	0
MGH36_P9_D12	NA	black	0	0	0
MGH54_P2_H03	0.543355708568	red	1	0.03984	0.12697
MGH36_P4_D06	0.627470536564	red	1	0.045443	0.079975
MGH53_P2_B03	0.107338490123	red	1	0.77146	0.21909
MGH53_P4_F03	NA	black	0	0	0
MGH36_P10_E09	NA	black	0	0	0
MGH53_P1_G02	0.355582300068	red	1	0.066261	0.22157
MGH54_P2_A02	-1.34422979331	black	0	0.15316	1.1164
MGH36_P3_A07	0.198498791376	red	1	0.049631	0.30685
MGH53_P4_E12	-2.74726248217	black	0	0.03984	1.6466
MGH54_P2_A03	NA	black	0	0	0
MGH53_P4_E10	1.83236398726	black	0	2.5649	1.111
MGH54_P2_D08	NA	black	0	0	0.40381
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0	0.16864
MGH53_P1_B10	NA	black	0	0.1177	0
MGH53_P2_F08	12.1601054459	black	0	3.1117	4.47
MGH36_P10_A01	4.55652157185	black	0	2.338	2.7816
MGH36_P10_F01	0.0158786323126	red	1	0.74416	0.39177
MGH53_P4_G03	NA	black	0	2.5957	0
MGH53_P1_F12	NA	black	0	0.17377	0
MGH36_P4_B03	0.0145554905278	red	1	0.079975	0.40163
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	NA	black	0	2.8793	0
MGH54_P2_D05	NA	black	0	3.011	0
MGH53_P2_C08	NA	black	0	0	0
MGH53_P4_H09	0.224425338905	red	1	0.055196	0.29278
MGH36_P8_H02	NA	black	0	0	0
MGH36_P10_H10	NA	black	0	0	0.44361
MGH53_P1_A12	-0.758573204304	red	1	2.4636	0.15834
MGH36_P8_F08	1.30409795219	black	0	2.009	1.2296
MGH53_P1_D10	NA	black	0	0	0.73466
MGH53_P4_A09	NA	black	0	0	0.71017
MGH53_P2_H08	NA	black	0	0.22157	0
MGH36_P4_A09	0.335983703155	red	1	0.14274	0.21785
