Cell_name	Zvalue	Color	Cluster	PPARD	SOD1
MGH53_P4_F04	NA	black	0	0	0
MGH36_P3_D10	NA	black	0	3.8593	0
MGH54_P2_F04	0.0106275451595	red	1	0.18396	5.7699
MGH36_P6_A03	-0.174461248629	red	1	0.19535	6.0514
MGH53_P1_F07	NA	black	0	0	1.6267
MGH36_P5_H08	0.0161318889774	red	1	1.9734	5.8341
MGH54_P2_A04	NA	black	0	0	2.6215
MGH53_P4_E11	NA	black	0	4.6973	0
MGH53_P2_G03	NA	black	0	4.2572	0
MGH36_P3_F04	NA	black	0	0.69243	0
MGH54_P2_B02	NA	black	0	0	5.2768
MGH36_P5_C07	0.110156383412	red	1	0.5724	5.5429
MGH53_P2_E02	NA	black	0	1.996	0
MGH54_P2_F09	NA	black	0	0	0
MGH36_P3_D05	NA	black	0	0	0
MGH36_P5_F12	NA	black	0	0.39177	0
MGH53_P2_H09	NA	black	0	0.50995	0
MGH54_P2_F07	0.794045380615	red	1	0.25459	4.5214
MGH36_P5_D10	0.219664653545	red	1	1.0969	4.538
MGH54_P2_F11	NA	black	0	0.38294	0
MGH53_P2_H04	NA	black	0	0.98914	0
MGH36_P6_F09	-0.00447312975421	red	1	1.4895	5.6576
MGH36_P9_F05	NA	black	0	5.1154	0
MGH36_P8_G11	NA	black	0	3.7088	0
MGH54_P2_A07	NA	black	0	2.6131	0
MGH36_P7_H06	NA	black	0	0	0
MGH53_P1_A01	NA	black	0	0	5.1682
MGH53_P1_A02	NA	black	0	0	0
MGH54_P2_E07	NA	black	0	2.099	0
MGH53_P4_F07	0.0729775389541	red	1	1.1947	5.1882
MGH53_P2_C05	0.282063841171	red	1	3.6387	6.011
MGH53_P4_H07	NA	black	0	0.33571	0
MGH53_P2_C06	NA	black	0	3.8308	0
MGH36_P3_F03	NA	black	0	4.189	0
MGH36_P2_A10	NA	black	0	0.59455	0
MGH53_P4_E03	0.433446829845	red	1	0.7031	4.6652
MGH36_P9_D12	NA	black	0	0	3.0718
MGH54_P2_H03	NA	black	0	3.2763	0
MGH36_P4_D06	0.138435498944	red	1	0.72072	5.4164
MGH53_P2_B03	2.88122458176	black	0	0.35276	0.82538
MGH53_P4_F03	NA	black	0	0.25942	0
MGH36_P10_E09	-0.32845485632	red	1	3.8136	5.5168
MGH53_P1_G02	NA	black	0	0.31615	0
MGH54_P2_A02	NA	black	0	0.96864	0
MGH36_P3_A07	-0.0222872862612	red	1	1.6535	5.601
MGH53_P4_E12	0.456751617553	red	1	0.16864	5.1074
MGH54_P2_A03	NA	black	0	0	0
MGH53_P4_E10	NA	black	0	1.6355	0
MGH54_P2_D08	-0.0126299897498	red	1	0.50182	5.8104
MGH36_P8_A02	-3.74806647097	black	0	5.0498	3.8351
MGH54_P2_B07	0.115415110565	red	1	0.47301	5.5582
MGH53_P1_B10	NA	black	0	0	3.9224
MGH53_P2_F08	NA	black	0	0	0
MGH36_P10_A01	NA	black	0	0	6.0135
MGH36_P10_F01	0.191020045176	red	1	0.29514	5.4696
MGH53_P4_G03	NA	black	0	0	2.6982
MGH53_P1_F12	NA	black	0	2.2705	0
MGH36_P4_B03	NA	black	0	0.76469	0
MGH54_P2_C07	-0.925094401437	red	1	2.8496	4.5644
MGH53_P1_B02	-0.616889577729	red	1	1.7247	1.7929
MGH54_P2_D05	NA	black	0	0.75104	0
MGH53_P2_C08	NA	black	0	4.5902	0
MGH53_P4_H09	NA	black	0	2.4895	0
MGH36_P8_H02	NA	black	0	0	0
MGH36_P10_H10	NA	black	0	0	5.3573
MGH53_P1_A12	NA	black	0	0	0.42975
MGH36_P8_F08	-0.00219595199241	red	1	1.434	5.411
MGH53_P1_D10	NA	black	0	0	0
