Cell_name	Zvalue	Color	Cluster	CPT1A	PPARA
MGH36_P2_B04	-0.949794242898	black	0	3.1424	0.19409
MGH36_P2_B05	0.158531137089	green3	2	0.71017	0.123
MGH36_P2_B06	-0.279140597459	red	1	1.5331	0.094912
MGH36_P2_B07	0.0812924952875	green3	2	0.85599	0.14796
MGH36_P2_B08	-0.484067893856	red	1	1.809	0.056584
MGH36_P2_B09	-0.353450385412	red	1	0.30568	0.75702
MGH36_P2_B10	0.0242799201881	green3	2	0.98696	0.090853
MGH36_P2_B11	-0.650919549719	red	1	2.0398	0.045443
MGH36_P2_B12	-0.165635789367	green3	2	1.8608	0.33685
MGH36_P2_C02	0.338387931358	green3	2	0.45943	0.051024
MGH36_P2_C03	0.332581307977	green3	2	0.45943	0.05797
MGH36_P2_C04	NA	black	0	0.26544	0
MGH36_P2_C07	0.308545883241	green3	2	0.42223	0.10836
MGH36_P2_C08	0.147709957072	green3	2	0.71633	0.14012
MGH36_P2_C09	0.231613828163	green3	2	0.46258	0.17632
MGH36_P2_C10	1.89048259068	black	0	2.6668	1.2762
MGH36_P2_C11	NA	black	0	0.5568	0
MGH36_P2_C12	4.08620792373	black	0	2.8803	2.0201
MGH36_P2_D01	-1.19271710249	black	0	3.0819	0.10568
MGH36_P2_D02	0.309690290097	green3	2	0.53007	0.034216
MGH36_P2_D04	0.315468211835	green3	2	0.42761	0.097611
MGH36_P2_D05	-1.60667208874	black	0	3.6058	0.086784
MGH36_P2_D06	1.81723413953	black	0	2.107	1.6631
MGH36_P2_D07	0.16242202723	green3	2	0.66084	0.15963
MGH36_P2_D08	0.324137004436	green3	2	0.42008	0.092207
MGH36_P2_D09	0.312598689088	green3	2	0.33571	0.14535
MGH36_P2_D10	-1.93883471275	black	0	4.7158	0.17121
MGH36_P2_D11	0.499137585397	green3	2	3.0788	0.65718
MGH36_P2_E01	0.258146354868	green3	2	0.54399	0.094912
MGH36_P2_E02	-0.259085177149	green3	2	0.67446	0.89685
MGH36_P2_E03	-1.43674911329	black	0	0.80405	3.2657
MGH36_P2_E04	NA	black	0	2.2922	0
MGH36_P2_E06	1.43837733815	black	0	3.5779	0.88284
MGH36_P2_E07	2.84173971391	black	0	2.2203	2.1776
MGH36_P2_E08	-0.149806735767	green3	2	0.52807	0.63784
